1) PARAMETROS: -i 10 -n 10 -c 0.05 -m 0.8 -g 100


  GENERACION INICIAL
  Mejor adaptación: 0.651631531,    Adaptación promedio: 0.536940642

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1111010110010011110111110100100   1.247073881   0.534609596   0.651631531
   2  1001000011000000000101010000010   0.735060223   0.570023504   0.636933140
   3  1100011110101011110000111000111   1.013954057   0.586111256   0.630472797
   4  0101011101101001110110001101010   0.443896501   0.702525258   0.587362799
   5  1011001010111101000101011101000   0.907657025   0.794923248   0.557126886
   6  0101001111100100010111010010111   0.426014300   0.832978498   0.545560137
   7  0000101010010110111011011101000   0.053775141   0.887031332   0.529932907
   8  0101110100110111011110011001111   0.473366052   1.155587624   0.463910624
   9  0101111110111011101101111010101   0.486145518   1.530504501   0.395178116
  10  0001001001010000010000010111100   0.092998237   1.693258243   0.371297480


  GENERACION ACTUAL:     5
  Mejor adaptación: 0.557809405,    Adaptación promedio: 0.471737794

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  0011000011101010101101100111011   0.248405862   0.792727034   0.557809405
   2  0110011010001111110100101110111   0.520821703   0.847396875   0.541302204
   3  0110011010000100110100101101011   0.520603495   0.851529215   0.540094097
   4  1011000100000111110010101000110   0.898982675   1.022088622   0.494538167
   5  1000010000000000111011111010110   0.670331072   1.083739689   0.479906394
   6  1010110000100011101001001010110   0.874144535   1.209482744   0.452594619
   7  1010110010000000110010101010100   0.875992266   1.265594264   0.441385298
   8  0011101111110100111001110000100   0.304467365   1.450153428   0.408137706
   9  0111001100010110100010000110000   0.584431344   1.489789986   0.401640301
  10  1010111000000010010111111000110   0.883640827   1.500189054   0.399969754

       Mínimo: f(Xopt) = 0.792727034  | Alcanzado en Xopt = 0.248405862



  GENERACION ACTUAL:    10
  Mejor adaptación: 0.689733988,    Adaptación promedio: 0.517548547

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1100101000001110111010001110110   1.026077009   0.449834309   0.689733988
   2  1100100011010111011101100011010   1.019898991   0.501657362   0.665930874
   3  0110101111100001010111100001101   0.547829863   0.685010042   0.593468273
   4  0011111111010110010000111110100   0.324172132   0.941446275   0.515079924
   5  1101000111010100111000110000010   1.065551038   0.976656111   0.505904894
   6  1001110111010001011101110000000   0.801420659   1.048811517   0.488087846
   7  0000111011110110011101001010100   0.075982550   1.213859536   0.451699841
   8  1110100010110101001111110111000   1.181720309   1.252547370   0.443941829
   9  1111101111000000101111010111011   1.278432650   1.255620080   0.443337071
  10  0011101011000000110111100101011   0.298357072   1.643398241   0.378300925

       Mínimo: f(Xopt) = 0.449834309  | Alcanzado en Xopt = 1.026077009


2) PARAMETROS: -i 10 -n 10 -c 0.8 -m 0.001 -g 100


  GENERACION INICIAL
  Mejor adaptación: 0.705424489,    Adaptación promedio: 0.520555626

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1111010000010000100001100000111   1.239390271   0.417586171   0.705424489
   2  1010011011001100110001100100001   0.847030743   0.598339325   0.625649375
   3  0110110000110000001111111010111   0.549394583   0.697989367   0.588931839
   4  0100011000101110000011001101011   0.356382220   0.821972579   0.548855681
   5  0001111011111010001011100000111   0.157306425   0.880423265   0.531795165
   6  1001011110010101100101101110000   0.769764194   1.073928696   0.482176654
   7  0000110111010011100000010101011   0.070211133   1.088298248   0.478858803
   8  1100001100000110100000000011110   0.990363330   1.182115898   0.458270801
   9  1010111001011011100001101100010   0.885409308   1.442835665   0.409360324
  10  0001010010001010100111001000101   0.104312056   1.657926480   0.376233130


  GENERACION ACTUAL:     5
  Mejor adaptación: 0.696349160,    Adaptación promedio: 0.559647265

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1100101100000111100101101110011   1.031009923   0.436061185   0.696349160
   2  1110110110010101100001101100010   1.206481695   0.568622522   0.637502003
   3  1110110110000111100101101110011   1.206205236   0.574219196   0.635235552
   4  0010111001011011100000000011110   0.235408801   0.845114114   0.541971899
   5  0010111000000111100101101110011   0.233744298   0.864001606   0.536480225
   6  0010110110010101100001111100010   0.231481772   0.893897272   0.528011743
   7  0000101100010101100101100011110   0.056287581   0.901096893   0.526012116
   8  0000101101011011100000001110011   0.057674478   0.911563458   0.523131992
   9  1000101101011011100000000011110   0.707674426   0.972836964   0.506884258
  10  0010101100000110100000000011110   0.218488330   1.151029366   0.464893700

       Mínimo: f(Xopt) = 0.436061185  | Alcanzado en Xopt = 1.031009923



  GENERACION ACTUAL:    10
  Mejor adaptación: 0.696116000,    Adaptación promedio: 0.560549753

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1100101101000111100101101110011   1.032279454   0.436542185   0.696116000
   2  1100101101010111100101100011111   1.032596786   0.436920056   0.695932941
   3  1100101101010111100101101110011   1.032596837   0.436920125   0.695932907
   4  0010111000000011100000001110011   0.233663247   0.864989160   0.536196146
   5  0010111000000011100000000000010   0.233663179   0.864989996   0.536195906
   6  1000101101011011100000000011111   0.707674427   0.972836949   0.506884262
   7  1000101100011011100000001110011   0.706404947   1.006131851   0.498471723
   8  1000101100000111100101101110011   0.706009923   1.016688667   0.495862359
   9  1010101101011011100000001110011   0.870174478   1.092686681   0.477854621
  10  0000111001011111100101101110010   0.072989902   1.145689468   0.466050663

       Mínimo: f(Xopt) = 0.436542185  | Alcanzado en Xopt = 1.032279454


3) PARAMETROS: -i 10 -n 10 -c 0.8 -m 0.001 -g 10


  GENERACION INICIAL
  Mejor adaptación: 0.672908406,    Adaptación promedio: 0.506035787

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1110000100011100010101100000101   1.143140212   0.486086354   0.672908406
   2  0111111110000001010001000001001   0.647486049   0.653059065   0.604939062
   3  0110100011100111101101101100101   0.532721378   0.686992326   0.592770924
   4  0100011110101101010000111110010   0.363983837   0.941279928   0.515124061
   5  0011001111101101010110100101001   0.263692607   0.947174698   0.513564603
   6  0101110010100110111101100011000   0.470499423   1.081512418   0.480419906
   7  1110100011100001100010000001011   1.182598741   1.224280338   0.449583617
   8  0000111111010101101000111000000   0.080409703   1.325462071   0.430022064
   9  0100111011111100101011100111011   0.401106048   1.453712656   0.407545683
  10  0011101101100001101111001111001   0.301548149   1.541428189   0.393479542


  GENERACION ACTUAL:     5
  Mejor adaptación: 0.672908406,    Adaptación promedio: 0.518044443

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1110000100011100010101100000101   1.143140212   0.486086354   0.672908406
   2  0111111110000001010001000001001   0.647486049   0.653059065   0.604939062
   3  0110100011100111101101101100101   0.532721378   0.686992326   0.592770924
   4  0100011110101101010000111110010   0.363983837   0.941279928   0.515124061
   5  0011001111101101010101100000101   0.263692275   0.947168993   0.513566107
   6  0011001111101101010110100101001   0.263692607   0.947174698   0.513564603
   7  0101110010100110111101100011000   0.470499423   1.081512418   0.480419906
   8  1110100011100001100010000001011   1.182598741   1.224280338   0.449583617
   9  0000111111010101101000111000000   0.080409703   1.325462071   0.430022064
  10  0100111011111100101011100111011   0.401106048   1.453712656   0.407545683

       Mínimo: f(Xopt) = 0.486086354  | Alcanzado en Xopt = 1.143140212



  GENERACION ACTUAL:    10
  Mejor adaptación: 0.672908406,    Adaptación promedio: 0.527181740

  No  Cromosoma                         Valor Real    Evaluación    Adaptación
   1  1110000100011100010101100000101   1.143140212   0.486086354   0.672908406
   2  0111111110000001010001000000010   0.647486044   0.653059027   0.604939076
   3  0111111110000001010001000001001   0.647486049   0.653059065   0.604939062
